캐릭터의 고유 id,캐릭터의 레벨,캐릭터의 최대 HP,캐릭터의 공격력,캐릭터의 방어력,캐릭터의 아웃게임 최대 경험치,캐릭터의 회피율(%),캐릭터의 치명타 확률(%),치명타 발생 시 데미지 배율,캐릭터의 치명 저항 확률(%),캐릭터의 HP 회복량 보너스(%),캐릭터가 아이템을 획득하는 콜라이더의 직경,캐릭터의 이동속도,캐릭터의 공격 속도(%),장비가 드롭될 확률 보너스(%),인게임 내 반질 금화 획득 시 획득량(%),인게임 경험치 획득량(%)
char_id,char_level,char_hp_max,char_atk,char_def,char_exp_limit,char_evasion,char_crtical,char_crtical_damage,char_anti_crtical,char_hp_regain,char_item_range,char_move_speed,char_attack_speed,char_dropbonus_equip,char_dropbonus_gold,char_dropbonus_exp
int,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
1,1,100,50,6,700,5,30,1.5,10,100,3,10,100,100,100,100
1,2,160,55,7,805,5,30,1.5,10,100,3,10,100,100,100,100
1,3,220,60,9,926,5,30,1.5,10,100,3,10,100,100,100,100
1,4,280,65,10,1065,5,30,1.5,10,100,3,10,100,100,100,100
1,5,340,70,11,1224,5,30,1.5,10,100,3,10,100,100,100,100
1,6,400,75,13,1408,5,30,1.5,10,100,3,10,100,100,100,100
1,7,460,80,14,1619,5,30,1.5,10,100,3,10,100,100,100,100
1,8,520,85,15,1862,5,30,1.5,10,100,3,10,100,100,100,100
1,9,580,90,17,2141,5,30,1.5,10,100,3,10,100,100,100,100
1,10,640,95,18,2463,5,30,1.5,10,100,3,10,100,100,100,100
1,11,664,100,19,2832,5,30,1.5,10,100,3,10,100,100,100,100
1,12,687,105,20,3256,5,30,1.5,10,100,3,10,100,100,100,100
1,13,711,110,21,3745,5,30,1.5,10,100,3,10,100,100,100,100
1,14,734,115,21,4307,5,30,1.5,10,100,3,10,100,100,100,100
1,15,758,120,22,4953,5,30,1.5,10,100,3,10,100,100,100,100
1,16,781,125,23,17901,5,30,1.5,10,100,3,10,100,100,100,100
1,17,805,130,24,20588,5,30,1.5,10,100,3,10,100,100,100,100
1,18,828,135,25,23674,5,30,1.5,10,100,3,10,100,100,100,100
1,19,852,140,26,27225,5,30,1.5,10,100,3,10,100,100,100,100
1,20,876,145,26,31310,5,30,1.5,10,100,3,10,100,100,100,100
